crop,year,rep,trt,plot,herbicide,species,injury,weight,weightkg,ndvi,cover1,cover
soybean,2013,2,8,203,Zidua,oat,30,2.21,464.1,0.426,29.93,0.3
soybean,2013,3,8,315,Zidua,oat,0.01,2.02,424.2,0.573,57.75,0.58
soybean,2013,4,8,406,Zidua,oat,10,2.13,447.3,0.529,45.55,0.46
soybean,2013,1,9,114,Firstrate,oat,0.01,3.41,716,0.596,64.69,0.65
soybean,2013,2,9,205,Firstrate,oat,0.01,2.85,598.4,0.444,58.72,0.59
soybean,2013,3,9,308,Firstrate,oat,0.01,4.3,902.9,0.579,70.2,0.7
soybean,2013,4,9,409,Firstrate,oat,0.01,3.51,737,0.589,59.45,0.59
soybean,2013,1,10,110,Dual ,oat,0.01,5.03,1056.2,0.599,61.51,0.62
soybean,2013,2,10,204,Dual ,oat,0.01,3.4,713.9,0.544,59.91,0.6
soybean,2013,3,10,311,Dual ,oat,0.01,3.58,751.7,0.638,75.12,0.75
soybean,2013,4,10,410,Dual ,oat,10,3.34,701.3,0.594,63.9,0.64
soybean,2013,1,11,107,Warrant,oat,0.01,3.94,827.3,0.609,72,0.72
soybean,2013,2,11,212,Warrant,oat,0.01,3.68,772.7,0.572,55.26,0.55
soybean,2013,3,11,310,Warrant,oat,0.01,4.07,854.6,0.608,71.01,0.71
soybean,2013,4,11,405,Warrant,oat,0.01,3.36,705.5,0.544,60.88,0.61
soybean,2013,1,12,112,Flexstar,oat,0.01,3.53,741.2,0.623,70.43,0.7
soybean,2013,2,12,208,Flexstar,oat,10,2.9,608.9,0.407,56.04,0.56
soybean,2013,3,12,305,Flexstar,oat,0.01,3.95,829.4,0.605,64.3,0.64
soybean,2013,4,12,414,Flexstar,oat,0.01,3.24,680.3,0.641,71.11,0.71
soybean,2013,1,13,105,Pursuit,oat,50,1.82,382.2,0.414,37.62,0.38
soybean,2013,2,13,215,Pursuit,oat,30,0.74,155.4,0.342,27.47,0.27
soybean,2013,3,13,312,Pursuit,oat,25,1.26,264.6,0.56,47.21,0.47
soybean,2013,4,13,415,Pursuit,oat,30,2.15,451.5,0.609,61.61,0.62
soybean,2013,1,14,103,Extreme,oat,40,1.76,369.6,0.396,33.28,0.33
soybean,2013,2,14,213,Extreme,oat,50,3.53,741.2,0.545,44.68,0.45
soybean,2013,3,14,302,Extreme,oat,30,1.15,241.5,0.386,33.29,0.33
soybean,2013,4,14,413,Extreme,oat,40,1.17,245.7,0.544,44.46,0.44
soybean,2013,1,15,101,Cobra,oat,0.01,5.57,1169.6,0.646,74.03,0.74
soybean,2013,2,15,211,Cobra,oat,0.01,2.82,592.1,0.623,71.81,0.72
soybean,2013,3,15,309,Cobra,oat,0.01,5.02,1054.1,0.618,70.65,0.71
soybean,2013,4,15,412,Cobra,oat,0.01,3.42,718.1,0.598,68.87,0.69
soybean,2014,1,1,113,Nontreated,oat,0.0001,4.68,982.7,0.259,7.29,0.07
soybean,2014,2,1,201,Nontreated,oat,0.0001,1.81,380.1,0.265,13.46,0.13
soybean,2014,3,1,308,Nontreated,oat,0.0001,2.21,464.1,0.216,7.53,0.08
soybean,2014,4,1,414,Nontreated,oat,0.0001,0.9,189,0.154,6.1,0.06
soybean,2014,1,2,104,Spartan,oat,15,1.01,212.1,0.184,5.94,0.06
soybean,2014,2,2,215,Spartan,oat,0.01,2.06,432.6,0.283,14.35,0.14
soybean,2014,3,2,309,Spartan,oat,25,1.22,256.2,0.189,9.59,0.1
soybean,2014,4,2,411,Spartan,oat,25,0.97,203.7,0.17,4.91,0.05
soybean,2014,1,3,101,Valor,oat,50,0.46,96.6,0.143,3.83,0.04
soybean,2014,2,3,211,Valor,oat,32,1.74,365.4,0.232,10.58,0.11
soybean,2014,3,3,301,Valor,oat,25,2.1,441,0.245,9.38,0.09
soybean,2014,4,3,408,Valor,oat,12,1.07,224.7,0.174,7.35,0.07
soybean,2014,1,4,103,Sencor,oat,15,0.98,205.8,0.168,7.7,0.08
soybean,2014,2,4,212,Sencor,oat,30,1.07,224.7,0.251,8.8,0.09
soybean,2014,3,4,315,Sencor,oat,15,1.57,329.7,0.175,7.11,0.07
soybean,2014,4,4,413,Sencor,oat,15,1.78,373.8,0.161,7.45,0.07
soybean,2014,1,5,115,Classic,oat,0.01,2.2,462,0.202,8.43,0.08
soybean,2014,2,5,214,Classic,oat,15,1.69,354.9,0.259,11.93,0.12
soybean,2014,3,5,311,Classic,oat,50,0.93,195.3,0.194,5.19,0.05
soybean,2014,4,5,409,Classic,oat,15,0.97,203.7,0.174,4.92,0.05
soybean,2014,1,6,107,AuthorityMTZ,oat,0.01,0.94,197.4,0.175,4.25,0.04
soybean,2014,2,6,208,AuthorityMTZ,oat,0.01,1.76,369.6,0.252,14.75,0.15
soybean,2014,3,6,304,AuthorityMTZ,oat,15,1.99,417.9,0.209,11.07,0.11
soybean,2014,4,6,415,AuthorityMTZ,oat,0.01,0.59,123.9,0.159,5.92,0.06
soybean,2014,1,7,111,Gangster,oat,0.01,2.02,424.2,0.195,8.05,0.08
soybean,2014,2,7,207,Gangster,oat,0.01,2.57,539.7,0.239,15.45,0.15
soybean,2014,3,7,302,Gangster,oat,15,1.12,235.2,0.216,10.79,0.11
soybean,2014,4,7,405,Gangster,oat,20,1.69,354.9,0.164,5.97,0.06
soybean,2014,1,8,112,Zidua,oat,0.01,1.53,321.3,0.215,10.28,0.1
soybean,2014,2,8,204,Zidua,oat,0.01,2.07,434.7,0.244,12.63,0.13
soybean,2014,3,8,313,Zidua,oat,12,1.44,302.4,0.18,7.23,0.07
soybean,2014,4,8,410,Zidua,oat,0.01,1.99,417.9,0.157,6.8,0.07
soybean,2014,1,9,105,Firstrate,oat,25,1.49,312.9,0.166,4.3,0.04
soybean,2014,2,9,203,Firstrate,oat,0.01,2.52,529.2,0.267,18.11,0.18
soybean,2014,3,9,310,Firstrate,oat,20,1.16,243.6,0.209,9.53,0.1
soybean,2014,4,9,404,Firstrate,oat,9,1.51,317.1,0.184,8.66,0.09
soybean,2014,1,10,110,Dual ,oat,0.01,0.87,182.7,0.221,7.44,0.07
soybean,2014,2,10,205,Dual ,oat,15,2.95,619.4,0.251,12.02,0.12
soybean,2014,3,10,314,Dual ,oat,30,3.23,678.2,0.21,8.09,0.08
soybean,2014,4,10,402,Dual ,oat,15,1.23,258.3,0.177,6.85,0.07
soybean,2014,1,11,108,Warrant,oat,0.01,2.39,501.9,0.197,9.05,0.09
soybean,2014,2,11,202,Warrant,oat,9,2.48,520.8,0.237,12.42,0.12
soybean,2014,3,11,305,Warrant,oat,20,2.4,504,0.213,9.26,0.09
soybean,2014,4,11,412,Warrant,oat,20,0.8,168,0.162,7.76,0.08
soybean,2014,1,12,102,Flexstar,oat,20,1.15,241.5,0.175,6.07,0.06
soybean,2014,2,12,209,Flexstar,oat,0.01,3.03,636.2,0.273,17.42,0.17
soybean,2014,3,12,307,Flexstar,oat,0.01,1.78,373.8,0.203,11.47,0.11
soybean,2014,4,12,403,Flexstar,oat,17,1.19,249.9,0.169,6.43,0.06
soybean,2014,1,13,109,Pursuit,oat,15,1.19,249.9,0.185,6.54,0.07
soybean,2014,2,13,210,Pursuit,oat,0.01,2.65,556.5,0.228,13.13,0.13
soybean,2014,3,13,303,Pursuit,oat,15,2.58,541.8,0.225,9.95,0.1
soybean,2014,4,13,406,Pursuit,oat,15,0.85,178.5,0.156,5.04,0.05
soybean,2014,1,14,106,Extreme,oat,0.01,0.67,140.7,0.154,4.01,0.04
soybean,2014,2,14,213,Extreme,oat,0.01,2.29,480.9,0.263,14.62,0.15
soybean,2014,3,14,306,Extreme,oat,20,2.18,457.8,0.224,11.2,0.11
soybean,2014,4,14,407,Extreme,oat,15,1.15,241.5,0.155,5.52,0.06
soybean,2014,1,15,114,Cobra,oat,0.01,1.67,350.7,0.278,11.18,0.11
soybean,2014,2,15,206,Cobra,oat,0.01,2.66,558.6,0.256,16.94,0.17
soybean,2014,3,15,312,Cobra,oat,0.01,1.28,268.8,0.207,8.98,0.09
soybean,2014,4,15,401,Cobra,oat,15,1.6,336,0.177,7.07,0.07
corn,2013,1,1,106,Nontreated,oat,0.0001,3.8,797.9,0.566,70.32,0.7
corn,2013,2,1,210,Nontreated,oat,0.0001,2.36,495.6,0.442,48.54,0.49
corn,2013,3,1,311,Nontreated,oat,0.0001,4.47,938.6,0.542,56.31,0.56
corn,2013,4,1,407,Nontreated,oat,0.0001,3.67,770.6,0.597,73.05,0.73
corn,2013,1,2,101,Princep 4FL,oat,0.01,3.27,686.6,0.598,62.36,0.62
corn,2013,2,2,207,Princep 4FL,oat,0.01,2.85,598.4,0.493,59.21,0.59
corn,2013,3,2,305,Princep 4FL,oat,0.01,2.03,426.3,0.571,58.36,0.58
corn,2013,4,2,414,Princep 4FL,oat,5,2.03,426.3,0.518,59.89,0.6
corn,2013,1,3,111,Callisto,oat,0.01,3.07,644.6,0.552,62.09,0.62
corn,2013,2,3,209,Callisto,oat,0.01,1.69,354.9,0.522,58.56,0.59
corn,2013,3,3,315,Callisto,oat,0.01,3.15,661.4,0.533,57.48,0.57
corn,2013,4,3,408,Callisto,oat,0.01,2.66,558.6,0.538,63.73,0.64
corn,2013,1,4,114,Laudis,oat,0.01,2.94,617.3,0.576,64.44,0.64
corn,2013,2,4,205,Laudis,oat,0.01,2.07,434.7,0.438,49.4,0.49
corn,2013,3,4,314,Laudis,oat,0.01,2.97,623.6,0.512,56.69,0.57
corn,2013,4,4,401,Laudis,oat,0.01,3.68,772.7,0.522,65.56,0.66
corn,2013,1,5,115,Impact,oat,0.01,1.93,405.3,0.509,66.06,0.66
corn,2013,2,5,203,Impact,oat,0.01,1.1,231,0.475,52.19,0.52
corn,2013,3,5,312,Impact,oat,0.01,3.06,642.5,0.521,58.09,0.58
corn,2013,4,5,413,Impact,oat,0.01,2.3,483,0.509,57.98,0.58
corn,2013,1,6,105,Stinger,oat,0.01,2.4,504,0.603,69.84,0.7
corn,2013,2,6,213,Stinger,oat,0.01,1.82,382.2,0.595,66.44,0.66
corn,2013,3,6,307,Stinger,oat,0.01,4.41,926,0.548,61.8,0.62
corn,2013,4,6,412,Stinger,oat,0.01,2.6,546,0.521,67.16,0.67
corn,2013,1,7,104,Python,oat,0.01,2.87,602.6,0.497,61.47,0.61
corn,2013,2,7,206,Python,oat,10,1.73,363.3,0.417,38.68,0.39
corn,2013,3,7,310,Python,oat,0.01,7.13,1497.2,0.533,52.88,0.53
corn,2013,4,7,403,Python,oat,0.01,2.96,621.5,0.538,66.86,0.67
corn,2013,1,8,108,Resolve,oat,0.01,1.99,417.9,0.576,66.16,0.66
corn,2013,2,8,202,Resolve,oat,0.01,1.68,352.8,0.475,51.57,0.52
corn,2013,3,8,308,Resolve,oat,0.01,2.43,510.3,0.533,55.77,0.56
corn,2013,4,8,402,Resolve,oat,0.01,3.94,827.3,0.417,61.82,0.62
corn,2013,1,9,107,Accent Q,oat,5,1.97,413.7,0.471,53.13,0.53
corn,2013,2,9,208,Accent Q,oat,0.01,2.82,592.1,0.509,54.81,0.55
corn,2013,3,9,313,Accent Q,oat,0.01,5.42,1138.1,0.511,57.64,0.58
corn,2013,4,9,415,Accent Q,oat,0.01,2.88,604.7,0.506,53.49,0.53
corn,2013,1,10,110,SureStart,oat,0.01,2.3,483,0.508,57.9,0.58
corn,2013,2,10,212,SureStart,oat,0.01,2.69,564.9,0.537,57.76,0.58
corn,2013,3,10,309,SureStart,oat,0.01,4.16,873.5,0.6,60.71,0.61
corn,2013,4,10,410,SureStart,oat,0.01,3.24,680.3,0.546,61.63,0.62
corn,2013,1,11,109,Zemax + Halex GT,oat,20,2.44,512.4,0.533,52.69,0.53
corn,2013,2,11,201,Zemax + Halex GT,oat,20,1.49,312.9,0.473,50.6,0.51
corn,2013,3,11,306,Zemax + Halex GT,oat,30,1.26,264.6,0.528,50.58,0.51
corn,2013,4,11,409,Zemax + Halex GT,oat,10,2.05,430.5,0.524,61.9,0.62
corn,2013,1,12,103,Fierce,oat,35,1.56,327.6,0.458,34.67,0.35
corn,2013,2,12,214,Fierce,oat,0.01,1.29,270.9,0.456,43.07,0.43
corn,2013,3,12,301,Fierce,oat,0.01,0.8,168,0.504,48.84,0.49
corn,2013,4,12,406,Fierce,oat,15,2.73,573.3,0.482,52.27,0.52
corn,2013,1,13,112,Basis Blend,oat,0.01,3.36,705.5,0.596,66.64,0.67
corn,2013,2,13,215,Basis Blend,oat,0.01,2.95,619.4,0.545,64.26,0.64
corn,2013,3,13,302,Basis Blend,oat,0.01,3.53,741.2,0.514,63.55,0.64
corn,2013,4,13,411,Basis Blend,oat,0.01,3,629.9,0.514,55.33,0.55
corn,2013,1,14,113,Verdict,oat,0.01,4.22,886.1,0.604,65.29,0.65
corn,2013,2,14,211,Verdict,oat,0.01,2.06,432.6,0.506,57.53,0.58
corn,2013,3,14,304,Verdict,oat,0.01,2.97,623.6,0.531,51.41,0.51
corn,2013,4,14,405,Verdict,oat,5,2.51,527.1,0.534,58.51,0.59
corn,2013,1,15,102,Sharpen,oat,0.01,5.42,1138.1,0.533,64.34,0.64
corn,2013,2,15,204,Sharpen,oat,0.01,1.85,388.5,0.501,51.53,0.52
corn,2013,3,15,303,Sharpen,oat,0.01,2.19,459.9,0.554,61.6,0.62
corn,2013,4,15,404,Sharpen,oat,0.01,3.91,821,0.55,64.49,0.64
corn,2014,1,1,110,Nontreated,oat,0.0001,0.32,67.2,0.231,3.73,0.04
corn,2014,2,1,208,Nontreated,oat,0.0001,0.83,174.3,0.236,5.87,0.06
corn,2014,3,1,304,Nontreated,oat,0.0001,3.64,764.3,0.232,8.96,0.09
corn,2014,4,1,413,Nontreated,oat,0.0001,0.59,123.9,0.206,4.72,0.05
corn,2014,1,2,101,Princep 4FL,oat,20,2.99,627.8,0.303,17.19,0.17
corn,2014,2,2,213,Princep 4FL,oat,25,0.2,42,0.232,3.4,0.03
corn,2014,3,2,306,Princep 4FL,oat,10,1.46,306.6,0.244,11.24,0.11
corn,2014,4,2,401,Princep 4FL,oat,50,1.29,270.9,0.149,3.81,0.04
corn,2014,1,3,112,Callisto,oat,50,0.87,182.7,0.2,2.94,0.03
corn,2014,2,3,203,Callisto,oat,0.01,0.62,130.2,0.257,7.49,0.07
corn,2014,3,3,315,Callisto,oat,20,1.1,231,0.205,4.31,0.04
corn,2014,4,3,406,Callisto,oat,15,0.96,201.6,0.196,6,0.06
corn,2014,1,4,107,Laudis,oat,20,2.6,546,0.242,9.69,0.1
corn,2014,2,4,205,Laudis,oat,0.01,1.08,226.8,0.275,6.06,0.06
corn,2014,3,4,312,Laudis,oat,0.01,1.89,396.9,0.232,6.09,0.06
corn,2014,4,4,404,Laudis,oat,0.01,1.17,245.7,0.203,6.44,0.06
corn,2014,1,5,106,Impact,oat,15,1.17,245.7,0.262,7.58,0.08
corn,2014,2,5,210,Impact,oat,0.01,0.7,147,0.233,6.84,0.07
corn,2014,3,5,303,Impact,oat,30,1.62,340.2,0.204,5.59,0.06
corn,2014,4,5,411,Impact,oat,15,3.01,632,0.195,5.86,0.06
corn,2014,1,6,105,Stinger,oat,30,1.28,268.8,0.295,8.49,0.08
corn,2014,2,6,201,Stinger,oat,50,0.62,130.2,0.238,10.75,0.11
corn,2014,3,6,313,Stinger,oat,25,1.92,403.2,0.237,5.5,0.05
corn,2014,4,6,409,Stinger,oat,20,3.77,791.6,0.224,7.91,0.08
corn,2014,1,7,104,Python,oat,30,0.97,203.7,0.268,7.4,0.07
corn,2014,2,7,211,Python,oat,15,0.54,113.4,0.233,4.92,0.05
corn,2014,3,7,305,Python,oat,30,1.63,342.3,0.234,8.09,0.08
corn,2014,4,7,410,Python,oat,20,1.63,342.3,0.208,7.68,0.08
corn,2014,1,8,111,Resolve,oat,20,1.06,222.6,0.215,3.86,0.04
corn,2014,2,8,202,Resolve,oat,0.01,0.82,172.2,0.278,9.57,0.1
corn,2014,3,8,308,Resolve,oat,0.01,3,629.9,0.26,9.6,0.1
corn,2014,4,8,407,Resolve,oat,0.01,1.73,363.3,0.208,9.28,0.09
corn,2014,1,9,108,Accent Q,oat,0.01,2.13,447.3,0.261,9.52,0.1
corn,2014,2,9,207,Accent Q,oat,30,1.09,228.9,0.214,6.69,0.07
corn,2014,3,9,302,Accent Q,oat,40,0.95,199.5,0.206,4.92,0.05
corn,2014,4,9,415,Accent Q,oat,25,2.22,466.2,0.204,4.38,0.04
corn,2014,1,10,115,SureStart,oat,50,0.42,88.2,0.196,2.81,0.03
corn,2014,2,10,212,SureStart,oat,0.01,0.8,168,0.273,6.27,0.06
corn,2014,3,10,309,SureStart,oat,25,2,420,0.256,8.29,0.08
corn,2014,4,10,412,SureStart,oat,15,1.54,323.4,0.189,5.01,0.05
corn,2014,1,11,113,Zemax + Halex GT,oat,80,0.41,86.1,0.204,1.89,0.02
corn,2014,2,11,204,Zemax + Halex GT,oat,0.01,0.87,182.7,0.286,9.66,0.1
corn,2014,3,11,301,Zemax + Halex GT,oat,50,1,210,0.168,6.08,0.06
corn,2014,4,11,408,Zemax + Halex GT,oat,20,1.66,348.6,0.23,7.22,0.07
corn,2014,1,12,103,Fierce,oat,30,3.91,821,0.304,6.09,0.06
corn,2014,2,12,215,Fierce,oat,50,0.06,12.6,0.181,2.47,0.02
corn,2014,3,12,314,Fierce,oat,25,1.04,218.4,0.214,4.64,0.05
corn,2014,4,12,405,Fierce,oat,20,0.93,195.3,0.192,5.36,0.05
corn,2014,1,13,102,Basis Blend,oat,30,2.01,422.1,0.245,6.74,0.07
corn,2014,2,13,214,Basis Blend,oat,80,0.41,86.1,0.191,2.32,0.02
corn,2014,3,13,311,Basis Blend,oat,15,0.7,147,0.218,6.08,0.06
corn,2014,4,13,414,Basis Blend,oat,20,0.99,207.9,0.201,4.8,0.05
corn,2014,1,14,109,Verdict,oat,0.01,1.87,392.7,0.25,6.34,0.06
corn,2014,2,14,206,Verdict,oat,0.01,1.12,235.2,0.225,8.76,0.09
corn,2014,3,14,310,Verdict,oat,12,1.09,228.9,0.242,8.3,0.08
corn,2014,4,14,402,Verdict,oat,50,1.64,344.4,0.193,4.82,0.05
corn,2014,1,15,114,Sharpen,oat,15,0.59,123.9,0.201,2.85,0.03
corn,2014,2,15,209,Sharpen,oat,15,0.73,153.3,0.247,4.23,0.04
corn,2014,3,15,307,Sharpen,oat,0.01,1.93,405.3,0.248,9.32,0.09
corn,2014,4,15,403,Sharpen,oat,30,1.66,348.6,0.228,3.96,0.04
soybean,2013,1,1,104,Nontreated,winter rye,0.0001,2.75,577.5,0.604,57.28,0.57
soybean,2013,2,1,206,Nontreated,winter rye,0.0001,3.51,737,0.59,55.74,0.56
soybean,2013,3,1,301,Nontreated,winter rye,0.0001,2.32,487.2,0.593,55.91,0.56
soybean,2013,4,1,402,Nontreated,winter rye,0.0001,2.7,567,0.528,46.53,0.47
soybean,2013,1,2,113,Spartan,winter rye,0.01,4.68,982.7,0.609,55.45,0.55
soybean,2013,2,2,214,Spartan,winter rye,0.01,3.41,716,0.597,59.21,0.59
soybean,2013,3,2,304,Spartan,winter rye,0.01,2.75,577.5,0.534,46.12,0.46
soybean,2013,4,2,407,Spartan,winter rye,0.01,3.09,648.8,0.393,40.77,0.41
soybean,2013,1,3,115,Valor,winter rye,0.01,5.98,1255.7,0.555,47.19,0.47
soybean,2013,2,3,209,Valor,winter rye,0.01,4.56,957.5,0.591,56.77,0.57
soybean,2013,3,3,306,Valor,winter rye,0.01,3.09,648.8,0.551,50.52,0.51
soybean,2013,4,3,411,Valor,winter rye,0.01,2.33,489.3,0.574,48.44,0.48
soybean,2013,1,4,109,Sencor,winter rye,0.01,3.27,686.6,0.599,60.61,0.61
soybean,2013,2,4,202,Sencor,winter rye,0.01,4.33,909.2,0.599,55.97,0.56
soybean,2013,3,4,303,Sencor,winter rye,0.01,3.09,648.8,0.569,52.54,0.53
soybean,2013,4,4,401,Sencor,winter rye,0.01,1.71,359.1,0.463,50.43,0.5
soybean,2013,1,5,102,Classic,winter rye,0.01,5.45,1144.4,0.603,59.25,0.59
soybean,2013,2,5,207,Classic,winter rye,0.01,3.5,734.9,0.599,58.31,0.58
soybean,2013,3,5,314,Classic,winter rye,0.01,3.73,783.2,0.593,54.18,0.54
soybean,2013,4,5,404,Classic,winter rye,0.01,1.82,382.2,0.506,40.8,0.41
soybean,2013,1,6,106,AuthorityMTZ,winter rye,0.01,3.87,812.6,0.591,56.47,0.56
soybean,2013,2,6,201,AuthorityMTZ,winter rye,0.01,6.35,1333.4,0.578,54.89,0.55
soybean,2013,3,6,307,AuthorityMTZ,winter rye,0.01,3.32,697.1,0.569,52.24,0.52
soybean,2013,4,6,403,AuthorityMTZ,winter rye,0.01,2.6,546,0.487,41.47,0.41
soybean,2013,1,7,111,Gangster,winter rye,0.01,,0,0.611,55.31,0.55
soybean,2013,2,7,210,Gangster,winter rye,0.01,4.71,989,0.64,62.74,0.63
soybean,2013,3,7,313,Gangster,winter rye,0.01,2.33,489.3,0.623,57.56,0.58
soybean,2013,4,7,408,Gangster,winter rye,0.01,1.42,298.2,0.517,49.81,0.5
soybean,2013,1,8,108,Zidua,winter rye,0.01,3.02,634.1,0.608,59.23,0.59
soybean,2013,2,8,203,Zidua,winter rye,0.01,5.14,1079.3,0.582,55.25,0.55
soybean,2013,3,8,315,Zidua,winter rye,0.01,3.19,669.8,0.609,53.76,0.54
soybean,2013,4,8,406,Zidua,winter rye,5,1.57,329.7,0.524,40.9,0.41
soybean,2013,1,9,114,Firstrate,winter rye,0.01,5.26,1104.5,0.598,54.36,0.54
soybean,2013,2,9,205,Firstrate,winter rye,0.01,4.05,850.4,0.581,58.6,0.59
soybean,2013,3,9,308,Firstrate,winter rye,0.01,,0,0.553,49.12,0.49
soybean,2013,4,9,409,Firstrate,winter rye,0.01,1.96,411.6,0.528,45.48,0.45
soybean,2013,1,10,110,Dual ,winter rye,0.01,3.07,644.6,0.59,54.14,0.54
soybean,2013,2,10,204,Dual ,winter rye,0.01,1.37,287.7,0.601,55.59,0.56
soybean,2013,3,10,311,Dual ,winter rye,0.01,2.79,585.9,0.611,55.29,0.55
soybean,2013,4,10,410,Dual ,winter rye,0.01,2.16,453.6,0.552,42.72,0.43
soybean,2013,1,11,107,Warrant,winter rye,0.01,,0,0.607,53.52,0.54
soybean,2013,2,11,212,Warrant,winter rye,0.01,3.9,818.9,0.621,61.48,0.61
soybean,2013,3,11,310,Warrant,winter rye,0.01,3.11,653,0.56,53.05,0.53
soybean,2013,4,11,405,Warrant,winter rye,0.01,2.23,468.3,0.515,47.62,0.48
soybean,2013,1,12,112,Flexstar,winter rye,0.01,3.3,692.9,0.62,58.16,0.58
soybean,2013,2,12,208,Flexstar,winter rye,0.01,2.89,606.8,0.613,62.4,0.62
soybean,2013,3,12,305,Flexstar,winter rye,0.01,2.75,577.5,0.561,50.48,0.5
soybean,2013,4,12,414,Flexstar,winter rye,0.01,1.66,348.6,0.636,59.2,0.59
soybean,2013,1,13,105,Pursuit,winter rye,0.01,2.25,472.5,0.59,52.88,0.53
soybean,2013,2,13,215,Pursuit,winter rye,0.01,1.18,247.8,0.439,32.86,0.33
soybean,2013,3,13,312,Pursuit,winter rye,5,2.79,585.9,0.572,47.18,0.47
soybean,2013,4,13,415,Pursuit,winter rye,0.01,1.81,380.1,0.601,65.8,0.66
soybean,2013,1,14,103,Extreme,winter rye,0.01,2.54,533.4,0.587,48.9,0.49
soybean,2013,2,14,213,Extreme,winter rye,0.01,3.59,753.8,0.585,51.04,0.51
soybean,2013,3,14,302,Extreme,winter rye,20,2.49,522.9,0.506,35.71,0.36
soybean,2013,4,14,413,Extreme,winter rye,20,2.82,592.1,0.589,50.92,0.51
soybean,2013,1,15,101,Cobra,winter rye,0.01,4.31,905,0.653,64.35,0.64
soybean,2013,2,15,211,Cobra,winter rye,0.01,3.46,726.5,0.627,60.6,0.61
soybean,2013,3,15,309,Cobra,winter rye,0.01,2.68,562.8,0.603,55.83,0.56
soybean,2013,4,15,412,Cobra,winter rye,0.01,5.61,1178,0.607,54.98,0.55
soybean,2014,1,1,113,Nontreated,winter rye,0.0001,4.95,1039.4,0.419,36.85,0.37
soybean,2014,2,1,201,Nontreated,winter rye,0.0001,9.41,1975.9,0.473,38.09,0.38
soybean,2014,3,1,308,Nontreated,winter rye,0.0001,4.34,911.3,0.366,30.87,0.31
soybean,2014,4,1,414,Nontreated,winter rye,0.0001,6.68,1402.7,0.321,17.71,0.18
soybean,2014,1,2,104,Spartan,winter rye,0.01,2.11,443.1,0.277,17.67,0.18
soybean,2014,2,2,215,Spartan,winter rye,0.01,7.52,1579.1,0.464,38.79,0.39
soybean,2014,3,2,309,Spartan,winter rye,0.01,4.16,873.5,0.364,28.32,0.28
soybean,2014,4,2,411,Spartan,winter rye,15,3.85,808.4,0.349,22.47,0.22
soybean,2014,1,3,101,Valor,winter rye,25,4.27,896.6,0.224,12.73,0.13
soybean,2014,2,3,211,Valor,winter rye,0.01,5.27,1106.6,0.451,37.85,0.38
